"id","Age","Citizenship","Status","Lifeboat","Adult.Minor","Sex","Survived","Pasajero","Class"
"301",32.7167051578137,"British","Single","No","Adult","Male","Saved","Crew","Engineering"
"302",32.7167051578137,"British","Single","No","Adult","Male","Saved","Crew","Engineering"
"303",44,"British","Single","No","Adult","Male","Lost","Crew","Engineering"
"304",32.7167051578137,"British","Married","No","Adult","Male","Lost","Crew","Engineering"
"305",19,"British","Single","No","Adult","Male","Saved","Crew","Engineering"
"306",42,"British","Single","No","Adult","Male","Lost","Crew","Engineering"
"307",44,"British","Married","No","Adult","Male","Lost","Crew","Engineering"
"308",32.7167051578137,"British","Single","No","Adult","Male","Lost","Crew","Engineering"
"309",32.7167051578137,"British","Single","No","Adult","Male","Saved","Crew","Engineering"
"310",32.7167051578137,"British","Married","No","Adult","Male","Saved","Crew","Engineering"
"311",24,"British","Married","No","Adult","Male","Lost","Crew","Engineering"
"312",40,"British","Single","No","Adult","Male","Lost","Crew","Engineering"
"313",41,"British","Married","No","Adult","Male","Lost","Crew","Engineering"
"314",32.7167051578137,"British","Married","No","Adult","Male","Lost","Crew","Engineering"
"315",32.7167051578137,"Russian","Single","No","Adult","Male","Saved","Crew","Engineering"
"316",32.7167051578137,"British","Married","No","Adult","Male","Lost","Crew","Engineering"
"317",32.7167051578137,"British","Single","No","Adult","Male","Lost","Crew","Engineering"
"318",32.7167051578137,"Brazilian","Married","No","Adult","Male","Lost","Crew","Engineering"
"319",32.7167051578137,"British","Single","No","Adult","Male","Lost","Crew","Engineering"
"320",32.7167051578137,"British","Married","No","Adult","Male","Lost","Crew","Engineering"
"321",32.7167051578137,"British","Married","No","Adult","Male","Saved","Crew","Engineering"
"322",32.7167051578137,"British","Married","No","Adult","Male","Saved","Crew","Engineering"
"323",32.7167051578137,"British","Single","No","Adult","Male","Saved","Crew","Engineering"
"324",32.7167051578137,"British","Married","No","Adult","Male","Lost","Crew","Engineering"
"325",32.7167051578137,"British","Married","No","Adult","Male","Lost","Crew","Engineering"
"326",23,"British","Single","No","Adult","Male","Lost","Crew","Engineering"
"327",32.7167051578137,"British","Married","No","Adult","Male","Saved","Crew","Engineering"
"328",32.7167051578137,"British","Single","No","Adult","Male","Saved","Crew","Engineering"
"329",32.7167051578137,"British","Single","No","Adult","Male","Lost","Crew","Engineering"
"330",32.7167051578137,"British","Married","No","Adult","Male","Saved","Crew","Engineering"
"331",60,"British","Married","No","Adult","Male","Lost","Crew","Engineering"
"332",32.7167051578137,"British","Married","No","Adult","Male","Saved","Crew","Engineering"
"333",24,"British","Single","No","Adult","Male","Lost","Crew","Engineering"
"334",32.7167051578137,"British","Single","No","Adult","Male","Lost","Crew","Engineering"
"335",32.7167051578137,"British","Married","No","Adult","Male","Saved","Crew","Engineering"
"336",32.7167051578137,"British","Single","No","Adult","Male","Lost","Crew","Engineering"
"337",32.7167051578137,"British","Single","No","Adult","Male","Saved","Crew","Engineering"
"338",32.7167051578137,"British","Otros","No","Adult","Male","Saved","Crew","Engineering"
"339",44,"British","Married","No","Adult","Male","Saved","Crew","Engineering"
"340",32.7167051578137,"British","Married","No","Adult","Male","Lost","Crew","Engineering"
"341",32.7167051578137,"British","Married","No","Adult","Male","Saved","Crew","Engineering"
"342",32.7167051578137,"British","Single","No","Adult","Male","Lost","Crew","Engineering"
"343",32.7167051578137,"British","Married","No","Adult","Male","Lost","Crew","Engineering"
"344",25,"British","Married","No","Adult","Male","Saved","Crew","Engineering"
"345",32.7167051578137,"British","Otros","No","Adult","Male","Lost","Crew","Engineering"
"346",32.7167051578137,"British","Married","No","Adult","Male","Saved","Crew","Engineering"
"347",32.7167051578137,"British","Single","No","Adult","Male","Lost","Crew","Engineering"
"348",50,"British","Married","No","Adult","Male","Lost","Crew","Engineering"
"349",56,"British","Single","No","Adult","Male","Lost","Crew","Engineering"
"350",32.7167051578137,"British","Married","No","Adult","Male","Saved","Crew","Engineering"
"351",32.7167051578137,"British","Married","No","Adult","Male","Saved","Crew","Engineering"
"352",32.7167051578137,"British","Otros","No","Adult","Male","Lost","Crew","Engineering"
"353",32.7167051578137,"British","Single","No","Adult","Male","Lost","Crew","Engineering"
"354",32.7167051578137,"British","Single","No","Adult","Male","Saved","Crew","Engineering"
