"","car_name","brand","model","kilometers_driven","transmision","fuel","color","engine_capacity","Precio"
"926","Used Kia Cerato 1.6L MPI Highline 2014","kia",2014,"140,000 KM","Automatic","Petrol","Other","1600",600000
"927","Used Kia Sportage 1.6L LX FWD 2015","kia",2015,"80,000 KM","Automatic","Petrol","Gray","1600",1100000
"928","Used Kia Sportage 1.6T-GDI GT (AWD) 2023","kia",2023,"5,000 KM","Automatic","Petrol","Black","1600",1750000
"929","Used Kia Sportage 1.6T-GDI EX (AWD) 2020","kia",2020,"75,000 KM","Automatic","Petrol","Beige","1600",1250000
"930","Used Kia Pegas 1.4L EX 2011","kia",2011,"170,000 KM","Automatic","Petrol","Gray","1100",350000
"931","Used Kia Cerato 2013","kia",2013,"120,000 KM","Automatic","N/A","White","N/A",525000
"932","Used Kia Cerato 1.6L EX 2013","kia",2013,"120,000 KM","Automatic","Petrol","White","1591",525000
"933","Used Kia Sportage 2019","kia",2019,"45,000 KM","Automatic","Petrol","Silver","N/A",1250000
"934","Used Kia Rio 5 Door Hatchback 1.4L 2013","kia",2013,"136,000 KM","Automatic","Petrol","Silver","1400",420000
"935","New Toyota Hilux 2023","kia",2023,"0 KM","Manual","Diesel","White","2400",995000
"936","Used Kia Sportage 1.6T-GDI LX (AWD) 2022","kia",2022,"54 KM","Automatic","Petrol","Red","1598",1400000
"937","Used Kia Cerato 4 Door Sedan 1.6L 2004","kia",2004,"150,000 KM","Automatic","Petrol","Black","1600",360000
"938","Used Kia Cerato 4 Door Sedan 1.6L 2010","kia",2010,"136,000 KM","Automatic","Petrol","Bronze","1600",270000
"939","Used Kia Sportage 2017","kia",2017,"110,000 KM","Automatic","Petrol","Black","1600",1150000
"940","Used Kia Morning 2014","kia",2014,"120,000 KM","Automatic","N/A","Maroon","N/A",300000
"941","Used Kia Sportage 4 Door 2.4L 2022","kia",2022,"26,000 KM","Automatic","Petrol","Gray","2400",1880000
"942","New Kia Seltos 1.6L 2022","kia",2022,"0 KM","Automatic","Petrol","White","1600",1400000
"943","Used Kia Soul 2009","kia",2009,"209 KM","Automatic","Petrol","Beige","1600",450000
"944","Used Kia Carens 1.6 EX 2015","kia",2015,"138,500 KM","Automatic","Petrol","Gray","1591",650000
"945","Used Kia Sportage 2022","kia",2022,"27,000 KM","Automatic","Petrol","White","1600",1350000
"946","Used Kia Soul 5 Door 1.6L EX 2011","kia",2011,"220,000 KM","Automatic","Petrol","Black","1600",505000
"947","Used Kia Rio 4 Door Sedan 1.4L 2002","kia",2002,"150,000 KM","Automatic","Petrol","Blue","1400",165000
"948","New Toyota Hilux 2023","kia",2023,"0 KM","Manual","Diesel","White","2400",995000
"949","Used Kia Cerato 4 Door Sedan 1.6L 2011","kia",2011,"250,000 KM","Automatic","Petrol","Red","1600",320000
"950","Used Kia Sportage 2022","kia",2022,"17,000 KM","Automatic","Petrol","White","1600",1750000
"951","Used Kia Cerato 4 Door Sedan 1.6L 2010","kia",2010,"80,000 KM","Automatic","Petrol","Bronze","1600",275000
"952","Used Kia Cerato 4 Door Sedan 1.6L 2004","kia",2004,"207,000 KM","Automatic","Petrol","Other","1600",300000
"953","Used Kia Cerato 4 Door Sedan 1.6L 2012","kia",2012,"126,000 KM","Automatic","Petrol","Gray","1600",430000
"954","Used Kia Forte 2011","kia",2011,"80,000 KM","Automatic","Petrol","White","N/A",550000
"955","Used Kia Koup 2 Door 2.0L 2011","kia",2011,"160,000 KM","Automatic","Petrol","Gray","1600",400000
"956","Used Kia Sportage 2021","kia",2021,"35,000 KM","Automatic","Petrol","Blue","1600",880000
"957","Used Kia Cerato 4 Door Sedan 1.6L 2018","kia",2018,"100,000 KM","Automatic","Petrol","Blue","1600",690000
"958","Used Kia Cerato 4 Door Sedan 1.6L 2018","kia",2018,"168,000 KM","Automatic","Petrol","Black","1600",650000
"959","Used Kia Sportage 2017","kia",2017,"83,000 KM","Automatic","Petrol","Bronze","1600",880000
"960","Used Kia Grand Cerato 2.0L MPI 2021","kia",2021,"90,000 KM","Automatic","Petrol","Black","2000",700000
"961","New Toyota Hilux 2023","kia",2023,"0 KM","Manual","Diesel","White","2400",995000
"962","New Kia Sportage 4 Door 2.4L 2023","kia",2023,"300 KM","Automatic","Petrol","Red","1600",1650000
"963","Used Kia Sephia 2000","kia",2000,"240,000 KM","Manual","Petrol","Tan","1600",135000
"964","Used Kia Sportage 1.6L LX (FWD) Topline Plus 2021","kia",2021,"15,780 KM","Automatic","Petrol","Silver","1600",1350000
"965","Used Kia Picanto 2010","kia",2010,"149,000 KM","Manual","Petrol","Gray","N/A",219000
"966","Used Kia Sorento 2007","kia",2007,"151,000 KM","Automatic","Petrol","Silver","N/A",470000
"967","Used Kia Sorento 2007","kia",2007,"151,000 KM","Automatic","Petrol","Silver","N/A",470000
"968","Used Kia Cerato 2.0L SX 2009","kia",2009,"160,000 KM","Automatic","Petrol","Silver","1600",270000
"969","Used Kia Cerato 1.6L Base 2011","kia",2011,"170,000 KM","Automatic","Petrol","Gray","1600",32000
"970","Used Kia Grand Cerato 1.6L EX 2022","kia",2022,"15,000 KM","Automatic","Petrol","Blue","1600",900000
"971","Used Kia Soul 2015","kia",2015,"125,000 KM","Automatic","Petrol","Black","1600",35000
"972","Used Kia Carnival 1999","kia",1999,"300,000 KM","Automatic","Petrol","Green","2500",145000
