Variable1;Valor1;Variable2;Valor2;Variable3;Valor3;Variable4;Valor4;Variable5;Valor5;PERIODO;VALOR
Tipo de dato;Índice;Comunidades y Ciudades Autónomas;Total Nacional;Año Base;Base 2011;Conjunto Urbano o No Urbano;Total;Grupos COICOP 2011;Índice general;2009M07;94,885
Tipo de dato;Índice;Comunidades y Ciudades Autónomas;Total Nacional;Año Base;Base 2011;Conjunto Urbano o No Urbano;Total;Grupos COICOP 2011;Índice general;2009M06;95,702
Tipo de dato;Índice;Comunidades y Ciudades Autónomas;Total Nacional;Año Base;Base 2011;Conjunto Urbano o No Urbano;Total;Grupos COICOP 2011;Índice general;2009M05;95,283
Tipo de dato;Índice;Comunidades y Ciudades Autónomas;Total Nacional;Año Base;Base 2011;Conjunto Urbano o No Urbano;Total;Grupos COICOP 2011;Índice general;2009M04;95,316
Tipo de dato;Índice;Comunidades y Ciudades Autónomas;Total Nacional;Año Base;Base 2011;Conjunto Urbano o No Urbano;Total;Grupos COICOP 2011;Índice general;2009M03;94,394
Tipo de dato;Índice;Comunidades y Ciudades Autónomas;Total Nacional;Año Base;Base 2011;Conjunto Urbano o No Urbano;Total;Grupos COICOP 2011;Índice general;2009M02;94,239
Tipo de dato;Índice;Comunidades y Ciudades Autónomas;Total Nacional;Año Base;Base 2011;Conjunto Urbano o No Urbano;Total;Grupos COICOP 2011;Índice general;2009M01;94,229
Tipo de dato;Índice;Comunidades y Ciudades Autónomas;Total Nacional;Año Base;Base 2011;Conjunto Urbano o No Urbano;Total;Grupos COICOP 2011;Índice general;2008M12;95,405
Tipo de dato;Índice;Comunidades y Ciudades Autónomas;Total Nacional;Año Base;Base 2011;Conjunto Urbano o No Urbano;Total;Grupos COICOP 2011;Índice general;2008M11;95,897
Tipo de dato;Índice;Comunidades y Ciudades Autónomas;Total Nacional;Año Base;Base 2011;Conjunto Urbano o No Urbano;Total;Grupos COICOP 2011;Índice general;2008M10;96,306
Tipo de dato;Índice;Comunidades y Ciudades Autónomas;Total Nacional;Año Base;Base 2011;Conjunto Urbano o No Urbano;Total;Grupos COICOP 2011;Índice general;2008M09;95,976
