"","X","Grupo","Fecha","Destino","Tarifa.min","Duración","Cantidad"
"386",386,"Asesores","T","America",0.026,0,0
"387",387,"","T","America",0.063,254,0.39
"388",388,"","T","Europa",0,0,0
"389",389,"Otros","T","America",0.026,67,0.12
"390",390,"Asesores","T","America",0.026,0,0
"391",391,"Otros","T","America",0.026,0,0
"392",392,"Asesores","T","America",0.026,10,0.1
"393",393,"Asesores","T","America",0.026,0,0
"394",394,"Asesores","T","America",0.026,26,0.1
"395",395,"Asesores","T","America",0.026,3,0.1
"396",396,"Asesores","T","America",0.153,2,0.22
"397",397,"Asesores","T","America",0.026,78,0.12
"398",398,"Asesores","T","America",0.239,0,0
"399",399,"Asesores","T","America",0.026,19,0.1
"400",400,"Asesores","T","America",0.026,0,0
"401",401,"Asesores","T","America",0.026,0,0
"402",402,"Otros","T","America",0.026,38,0.1
"403",403,"Otros","T","America",0.026,0,0
"404",404,"Asesores","T","America",0.126,0,0
"405",405,"Asesores","T","America",0.126,0,0
"406",406,"Asesores","T","America",0.063,11,0.13
"407",407,"Asesores","T","America",0.026,3,0.1
"408",408,"Asesores","T","America",0.063,10,0.13
"409",409,"Asesores","T","America",0.026,7,0.1
"410",410,"Asesores","T","America",0.063,7,0.13
"411",411,"Otros","T","America",0.026,41,0.1
"412",412,"Otros","T","America",0.026,0,0
"413",413,"Asesores","T","America",0.021,51,0.06
"414",414,"Asesores","T","America",0.026,0,0
"415",415,"Asesores","T","America",0.026,0,0
"416",416,"Asesores","T","America",0.063,13,0.13
"417",417,"Asesores","T","Africa",0.292,0,0
"418",418,"Educacion","M","Europa",0.09,269,0.52
"419",419,"Educacion","M","Europa",0.09,50,0.16
"420",420,"Asesores","T","America",0.026,22,0.1
"421",421,"Asesores","T","America",0.026,84,0.12
"422",422,"Otros","T","America",0.026,0,0
"423",423,"Otros","T","America",0.007,0,0
"424",424,"Asesores","T","Europa",0.09,71,0.25
"425",425,"Asesores","T","Europa",0.09,9,0.16
"426",426,"","T","America",0.026,0,0
"427",427,"Otros","T","America",0.026,119,0.12
"428",428,"","T","Europa",0,0,0
"429",429,"Asesores","T","America",0.026,0,0
"430",430,"Educacion","T","America",0.026,0,0
"431",431,"Educacion","T","America",0.026,0,0
"432",432,"Asesores","T","America",0.026,23,0.1
"433",433,"Educacion","T","America",0.026,7,0.1
"434",434,"Educacion","T","America",0.099,171,0.37
"435",435,"Educacion","T","America",0.063,168,0.26
"436",436,"Educacion","T","America",0.063,151,0.26
"437",437,"Educacion","T","America",0.063,3,0.13
"438",438,"Educacion","T","America",0.063,219,0.32
"439",439,"Asesores","T","America",0.063,264,0.39
"440",440,"Asesores","T","America",0.026,26,0.1
"441",441,"Asesores","T","America",0.126,0,0
"442",442,"Asesores","T","America",0.063,173,0.26
"443",443,"Educacion","T","America",0.026,0,0
"444",444,"Otros","T","America",0.026,1360,0.67
"445",445,"Otros","T","America",0.026,0,0
"446",446,"Educacion","T","America",0.08,0,0.24
"447",447,"Asesores","T","America",0.063,125,0.26
"448",448,"Asesores","T","America",0.063,0,0
"449",449,"Asesores","T","America",0.026,0,0
"450",450,"Educacion","T","Europa",0.09,738,1.24
"451",451,"Educacion","T","America",0.021,87,0.08
"452",452,"Educacion","T","America",0.126,328,0.83
"453",453,"Otros","T","America",0.026,175,0.15
"454",454,"","T","America",0.063,18,0.13
"455",455,"Asesores","T","America",0.063,428,0.57
"456",456,"Educacion","T","America",0.144,100,0.36
"457",457,"Educacion","T","America",0.226,165,0.75
"458",458,"Asesores","T","America",0.026,5,0.1
"459",459,"Asesores","T","America",0.063,3,0.13
"460",460,"Asesores","T","America",0.026,0,0
"461",461,"Educacion","T","America",0.063,0,0
"462",462,"Educacion","T","America",0.193,125,0.65
"463",463,"Asesores","T","America",0.026,0,0
"464",464,"Educacion","T","America",0.026,200,0.17
"465",465,"Otros","T","America",0.026,0,0
"466",466,"Educacion","T","America",0.026,32,0.1
"467",467,"Asesores","T","America",0.062,203,0.32
"468",468,"Otros","T","America",0.007,0,0
"469",469,"Asesores","T","America",0.026,0,0
"470",470,"Asesores","T","America",0.026,0,0
"471",471,"Educacion","T","Europa",0.136,61,0.34
"472",472,"Asesores","T","America",0.026,69,0.12
"473",473,"Asesores","T","America",0.026,0,0
"474",474,"Asesores","T","America",0.026,45,0.1
"475",475,"Asesores","T","America",0.063,59,0.13
"476",476,"Asesores","T","America",0.063,0,0
"477",477,"Asesores","T","America",0.026,0,0
