id,Age,Citizenship,Status,Lifeboat,Adult.Minor,Sex,Survived,Pasajero,Class,Template
169,32,British,Single,No,Adult,Male,Saved,Crew,Engineering,(Pasajero (id 169)(sexo Male)(status Single)(adult Adult)(clase Engineering))
170,32,British,Single,No,Adult,Male,Lost,Crew,Engineering,(Pasajero (id 170)(sexo Male)(status Single)(adult Adult)(clase Engineering))
171,32,British,Single,No,Adult,Male,Lost,Crew,Engineering,(Pasajero (id 171)(sexo Male)(status Single)(adult Adult)(clase Engineering))
172,32,British,Married,No,Adult,Male,Lost,Crew,Engineering,(Pasajero (id 172)(sexo Male)(status Married)(adult Adult)(clase Engineering))
173,32,British,Married,No,Adult,Male,Lost,Crew,Engineering,(Pasajero (id 173)(sexo Male)(status Married)(adult Adult)(clase Engineering))
174,30,British,Married,No,Adult,Male,Lost,Crew,Engineering,(Pasajero (id 174)(sexo Male)(status Married)(adult Adult)(clase Engineering))
175,32,British,Single,No,Adult,Male,Saved,Crew,Engineering,(Pasajero (id 175)(sexo Male)(status Single)(adult Adult)(clase Engineering))
176,34,British,Single,No,Adult,Male,Lost,Crew,Engineering,(Pasajero (id 176)(sexo Male)(status Single)(adult Adult)(clase Engineering))
177,36,British,Married,No,Adult,Male,Lost,Crew,Engineering,(Pasajero (id 177)(sexo Male)(status Married)(adult Adult)(clase Engineering))
178,32,British,Married,No,Adult,Male,Lost,Crew,Engineering,(Pasajero (id 178)(sexo Male)(status Married)(adult Adult)(clase Engineering))
179,32,British,Single,No,Adult,Male,Lost,Crew,Engineering,(Pasajero (id 179)(sexo Male)(status Single)(adult Adult)(clase Engineering))
180,32,British,Married,No,Adult,Male,Lost,Crew,Engineering,(Pasajero (id 180)(sexo Male)(status Married)(adult Adult)(clase Engineering))
181,32,British,Single,No,Adult,Male,Saved,Crew,Engineering,(Pasajero (id 181)(sexo Male)(status Single)(adult Adult)(clase Engineering))
182,32,British,Single,No,Adult,Male,Saved,Crew,Engineering,(Pasajero (id 182)(sexo Male)(status Single)(adult Adult)(clase Engineering))
183,32,British,Single,No,Adult,Male,Lost,Crew,Engineering,(Pasajero (id 183)(sexo Male)(status Single)(adult Adult)(clase Engineering))
184,32,British,Married,No,Adult,Male,Lost,Crew,Engineering,(Pasajero (id 184)(sexo Male)(status Married)(adult Adult)(clase Engineering))
185,32,British,Single,No,Adult,Male,Lost,Crew,Engineering,(Pasajero (id 185)(sexo Male)(status Single)(adult Adult)(clase Engineering))
186,30,British,Married,No,Adult,Male,Lost,Crew,Engineering,(Pasajero (id 186)(sexo Male)(status Married)(adult Adult)(clase Engineering))
187,32,British,Married,No,Adult,Male,Lost,Crew,Engineering,(Pasajero (id 187)(sexo Male)(status Married)(adult Adult)(clase Engineering))
188,32,British,Married,No,Adult,Male,Lost,Crew,Engineering,(Pasajero (id 188)(sexo Male)(status Married)(adult Adult)(clase Engineering))
189,32,British,Single,No,Adult,Male,Lost,Crew,Engineering,(Pasajero (id 189)(sexo Male)(status Single)(adult Adult)(clase Engineering))
190,32,British,Married,No,Adult,Male,Lost,Crew,Engineering,(Pasajero (id 190)(sexo Male)(status Married)(adult Adult)(clase Engineering))
191,25,British,Single,No,Adult,Male,Lost,Crew,Engineering,(Pasajero (id 191)(sexo Male)(status Single)(adult Adult)(clase Engineering))
192,25,British,Married,No,Adult,Male,Lost,Crew,Engineering,(Pasajero (id 192)(sexo Male)(status Married)(adult Adult)(clase Engineering))
193,32,British,Married,No,Adult,Male,Lost,Crew,Engineering,(Pasajero (id 193)(sexo Male)(status Married)(adult Adult)(clase Engineering))
194,32,British,Single,No,Adult,Male,Lost,Crew,Engineering,(Pasajero (id 194)(sexo Male)(status Single)(adult Adult)(clase Engineering))
195,32,British,Single,No,Adult,Male,Lost,Crew,Engineering,(Pasajero (id 195)(sexo Male)(status Single)(adult Adult)(clase Engineering))
196,32,British,Married,No,Adult,Male,Lost,Crew,Engineering,(Pasajero (id 196)(sexo Male)(status Married)(adult Adult)(clase Engineering))
